species,decimallongitude,decimallatitude
Ochotona_princeps,-120.1231889,53.35830833
Ochotona_princeps,-120.1136806,53.35911944
Ochotona_princeps,-120.11288,38.95447
Ochotona_princeps,-120.1119,38.8599
Ochotona_princeps,-120.09795,38.90617
Ochotona_princeps,-120.06356,38.84163
Ochotona_princeps,-120.0459481,38.8364571
Ochotona_princeps,-120.04056,38.83389
Ochotona_princeps,-120.03016,38.81245
Ochotona_princeps,-120.013056,38.856111
Ochotona_princeps,-119.97512,38.72321
Ochotona_princeps,-119.9697,48.9286
Ochotona_princeps,-119.91772,41.90407
Ochotona_princeps,-119.917136,39.300311
Ochotona_princeps,-119.89342,39.05331
Ochotona_princeps,-119.8624917,51.71778611
Ochotona_princeps,-119.8623944,51.71751111
Ochotona_princeps,-119.8619972,51.71785278
Ochotona_princeps,-119.8590972,51.72013611
Ochotona_princeps,-119.858525,51.72105556
Ochotona_princeps,-119.8555778,51.72303611
Ochotona_princeps,-119.85376,51.72384
Ochotona_princeps,-119.8537556,51.72383889
Ochotona_princeps,-119.8529111,51.72427222
Ochotona_princeps,-119.8518194,51.72503889
Ochotona_princeps,-119.8166889,38.54448889
Ochotona_princeps,-119.8164556,38.54444722
Ochotona_princeps,-119.8162028,38.54581944
Ochotona_princeps,-119.8162,38.54582
Ochotona_princeps,-119.811846,38.544353
Ochotona_princeps,-119.7436,42.4219
Ochotona_princeps,-119.7436,48.6
Ochotona_princeps,-119.6322,48.8211
Ochotona_princeps,-119.59505,38.16908
Ochotona_princeps,-119.531342,37.904947
Ochotona_princeps,-119.52754,37.90351
Ochotona_princeps,-119.50555,37.84439
Ochotona_princeps,-119.5028,50.2259
Ochotona_princeps,-119.50227,37.84744
Ochotona_princeps,-119.44434,37.84358
Ochotona_princeps,-119.43257,54.087283
Ochotona_princeps,-119.430675,54.08774722
Ochotona_princeps,-119.4281056,54.08275556
Ochotona_princeps,-119.4274056,54.08251111
Ochotona_princeps,-119.4192111,54.07723333
Ochotona_princeps,-119.41921,54.07723
Ochotona_princeps,-119.4188306,54.07728056
Ochotona_princeps,-119.4028861,54.07392778
Ochotona_princeps,-119.39498,37.87941
Ochotona_princeps,-119.373384,37.717984
Ochotona_princeps,-119.345037,37.93776
Ochotona_princeps,-119.34099,37.78762
Ochotona_princeps,-119.336806,38.436736
Ochotona_princeps,-119.329856,38.444913
Ochotona_princeps,-119.32805,37.79125
Ochotona_princeps,-119.312958,38.439079
Ochotona_princeps,-119.310946,38.442012
Ochotona_princeps,-119.306641,37.777043
