species,decimallongitude,decimallatitude
Ochotona_princeps,-118.75,36.98
Ochotona_princeps,-118.72917,41.66194
Ochotona_princeps,-118.685282,44.306939
Ochotona_princeps,-118.678,36.602501
Ochotona_princeps,-118.63247,37.191227
Ochotona_princeps,-118.5617,42.6784
Ochotona_princeps,-118.525691,37.1044343
Ochotona_princeps,-118.5167,50.1
Ochotona_princeps,-118.47833,48.6075
Ochotona_princeps,-118.4167,44.8094
Ochotona_princeps,-118.3259722,36.78051389
Ochotona_princeps,-118.30806,37.90111
Ochotona_princeps,-118.25834,37.62909
Ochotona_princeps,-118.25311,37.753348
Ochotona_princeps,-118.2178507,36.5005118
Ochotona_princeps,-118.2100806,44.94659167
Ochotona_princeps,-118.168469,37.53385
Ochotona_princeps,-118.133606,36.25278
Ochotona_princeps,-118.099737,37.432159
Ochotona_princeps,-117.3689,44.9822
Ochotona_princeps,-117.3669,45.2558
Ochotona_princeps,-117.3493361,38.87736667
Ochotona_princeps,-117.3006,45.1636
Ochotona_princeps,-117.2772028,45.06099167
Ochotona_princeps,-117.2155,45.2674
Ochotona_princeps,-117.1308,48.7969
Ochotona_princeps,-117.1014,47.8706
Ochotona_princeps,-116.9239333,38.73990833
Ochotona_princeps,-116.8272,48.2772
Ochotona_princeps,-116.5776778,48.63073056
Ochotona_princeps,-116.5682306,45.1798
Ochotona_princeps,-116.5178639,52.06103889
Ochotona_princeps,-115.92,48.94
Ochotona_princeps,-115.7236,47.5169
Ochotona_princeps,-115.6933,45.6203
Ochotona_princeps,-115.43507,43.61551
Ochotona_princeps,-115.3922167,40.58255278
Ochotona_princeps,-115.1992,46.1469
Ochotona_princeps,-115.085,41.02667
Ochotona_princeps,-114.98333,50.59722
Ochotona_princeps,-114.980901,46.98237601
Ochotona_princeps,-114.8583,43.9153
Ochotona_princeps,-114.8333,49.7
Ochotona_princeps,-114.807447,45.66585403
Ochotona_princeps,-114.7272,43.9226
Ochotona_princeps,-114.6833,49.6333
Ochotona_princeps,-114.50515,46.1196
Ochotona_princeps,-114.4362,48.58712
Ochotona_princeps,-114.3641,46.6859
Ochotona_princeps,-114.333642,47.11993502
Ochotona_princeps,-114.28321,46.03495
Ochotona_princeps,-114.12226,45.24737201
Ochotona_princeps,-113.9004194,44.307125
Ochotona_princeps,-113.7794,46.5277
Ochotona_princeps,-113.70482,45.41729
Ochotona_princeps,-113.7033,44.1569
Ochotona_princeps,-113.6293,46.5734
Ochotona_princeps,-113.5815,43.452
Ochotona_princeps,-113.4283,48.744
Ochotona_princeps,-113.3823,46.8622
Ochotona_princeps,-113.04694,37.43167
Ochotona_princeps,-113.03857,37.54886
Ochotona_princeps,-112.9929,47.6227
Ochotona_princeps,-112.84407,37.63566
Ochotona_princeps,-112.8161,47.5159
Ochotona_princeps,-112.7207,47.6181
Ochotona_princeps,-112.67297,37.52415
Ochotona_princeps,-112.46195,38.23505
Ochotona_princeps,-112.36116,38.3167
Ochotona_princeps,-112.34332,38.40838
Ochotona_princeps,-112.0725,38.53627
Ochotona_princeps,-111.69607,38.70684
Ochotona_princeps,-111.66545,40.5803
Ochotona_princeps,-111.64305,38.60989
Ochotona_princeps,-111.58447,38.04615
Ochotona_princeps,-111.5725,42.3292
Ochotona_princeps,-111.54237,38.17057
Ochotona_princeps,-111.5189611,39.06330833
Ochotona_princeps,-111.464,38.43356
Ochotona_princeps,-111.44208,39.32247
Ochotona_princeps,-111.38466,38.04323
Ochotona_princeps,-111.28,40.64306
Ochotona_princeps,-111.27835,39.32328
Ochotona_princeps,-111.06852,40.48139
Ochotona_princeps,-111.0411111,40.75828333
Ochotona_princeps,-110.97583,40.57627
Ochotona_princeps,-110.935232,43.540878
Ochotona_princeps,-110.91361,42.62056
Ochotona_princeps,-110.86905,40.71667
Ochotona_princeps,-110.81833,44.13
Ochotona_princeps,-110.76167,43.48
Ochotona_princeps,-110.72972,40.97722
Ochotona_princeps,-110.63965,43.42525
