date,state,county,cases
2020-06-03,Georgia,Cobb,3097
2020-06-03,Georgia,DeKalb,3874
2020-06-03,Georgia,Fulton,4688
2020-06-03,Georgia,Gwinnett,4063
2020-06-03,Georgia,Hall,2539
2020-06-04,Georgia,Cobb,3165
2020-06-04,Georgia,DeKalb,3939
2020-06-04,Georgia,Fulton,4724
2020-06-04,Georgia,Gwinnett,4267
2020-06-04,Georgia,Hall,2566
2020-06-05,Georgia,Cobb,3223
2020-06-05,Georgia,DeKalb,3986
2020-06-05,Georgia,Fulton,4790
2020-06-05,Georgia,Gwinnett,4372
2020-06-05,Georgia,Hall,2596
2020-06-06,Georgia,Cobb,3242
2020-06-06,Georgia,DeKalb,4008
2020-06-06,Georgia,Fulton,4822
2020-06-06,Georgia,Gwinnett,4433
2020-06-06,Georgia,Hall,2615
2020-06-07,Georgia,Cobb,3249
2020-06-07,Georgia,DeKalb,4012
2020-06-07,Georgia,Fulton,4823
2020-06-07,Georgia,Gwinnett,4440
2020-06-07,Georgia,Hall,2616
2020-06-08,Georgia,Cobb,3298
2020-06-08,Georgia,DeKalb,4054
2020-06-08,Georgia,Fulton,4887
2020-06-08,Georgia,Gwinnett,4598
2020-06-08,Georgia,Hall,2642
2020-06-09,Georgia,Cobb,3337
2020-06-09,Georgia,DeKalb,4120
2020-06-09,Georgia,Fulton,4925
2020-06-09,Georgia,Gwinnett,4692
2020-06-09,Georgia,Hall,2664
2020-06-10,Georgia,Cobb,3370
2020-06-10,Georgia,DeKalb,4186
2020-06-10,Georgia,Fulton,4989
2020-06-10,Georgia,Gwinnett,4808
2020-06-10,Georgia,Hall,2686
2020-06-11,Georgia,Cobb,3471
2020-06-11,Georgia,DeKalb,4229
2020-06-11,Georgia,Fulton,5031
2020-06-11,Georgia,Gwinnett,4980
2020-06-11,Georgia,Hall,2699
2020-06-12,Georgia,Cobb,3522
2020-06-12,Georgia,DeKalb,4282
2020-06-12,Georgia,Fulton,5069
2020-06-12,Georgia,Gwinnett,5089
2020-06-12,Georgia,Hall,2727
2020-06-13,Georgia,Cobb,3557
2020-06-13,Georgia,DeKalb,4303
2020-06-13,Georgia,Fulton,5100
2020-06-13,Georgia,Gwinnett,5141
2020-06-13,Georgia,Hall,2740
2020-06-14,Georgia,Cobb,3581
2020-06-14,Georgia,DeKalb,4311
2020-06-14,Georgia,Fulton,5106
2020-06-14,Georgia,Gwinnett,5172
2020-06-14,Georgia,Hall,2747
2020-06-15,Georgia,Cobb,3618
2020-06-15,Georgia,DeKalb,4355
2020-06-15,Georgia,Fulton,5157
2020-06-15,Georgia,Gwinnett,5308
2020-06-15,Georgia,Hall,2755
2020-06-16,Georgia,Cobb,3679
2020-06-16,Georgia,DeKalb,4411
2020-06-16,Georgia,Fulton,5148
2020-06-16,Georgia,Gwinnett,5451
2020-06-16,Georgia,Hall,2787
2020-06-17,Georgia,Cobb,3712
2020-06-17,Georgia,DeKalb,4489
2020-06-17,Georgia,Fulton,5292
2020-06-17,Georgia,Gwinnett,5658
2020-06-17,Georgia,Hall,2822
2020-06-18,Georgia,Cobb,3751
2020-06-18,Georgia,DeKalb,4541
2020-06-18,Georgia,Fulton,5325
2020-06-18,Georgia,Gwinnett,5753
2020-06-18,Georgia,Hall,2874
2020-06-19,Georgia,Cobb,3807
2020-06-19,Georgia,DeKalb,4637
2020-06-19,Georgia,Fulton,5400
2020-06-19,Georgia,Gwinnett,5958
2020-06-19,Georgia,Hall,2901
2020-06-20,Georgia,Cobb,3841
2020-06-20,Georgia,DeKalb,4666
2020-06-20,Georgia,Fulton,5444
2020-06-20,Georgia,Gwinnett,6043
2020-06-20,Georgia,Hall,2922
2020-06-21,Georgia,Cobb,3893
2020-06-21,Georgia,DeKalb,4694
2020-06-21,Georgia,Fulton,5496
2020-06-21,Georgia,Gwinnett,6151
2020-06-21,Georgia,Hall,2935
2020-06-22,Georgia,Cobb,3969
2020-06-22,Georgia,DeKalb,4791
2020-06-22,Georgia,Fulton,5705
2020-06-22,Georgia,Gwinnett,6407
2020-06-22,Georgia,Hall,2946
2020-06-23,Georgia,Cobb,4134
2020-06-23,Georgia,DeKalb,5042
2020-06-23,Georgia,Fulton,5885
2020-06-23,Georgia,Gwinnett,6636
2020-06-23,Georgia,Hall,2982
2020-06-24,Georgia,Cobb,4269
2020-06-24,Georgia,DeKalb,5158
2020-06-24,Georgia,Fulton,6052
2020-06-24,Georgia,Gwinnett,7036
2020-06-24,Georgia,Hall,3032
2020-06-25,Georgia,Cobb,4347
2020-06-25,Georgia,DeKalb,5258
2020-06-25,Georgia,Fulton,6163
2020-06-25,Georgia,Gwinnett,7223
2020-06-25,Georgia,Hall,3048
2020-06-26,Georgia,Cobb,4433
2020-06-26,Georgia,DeKalb,5322
2020-06-26,Georgia,Fulton,6350
2020-06-26,Georgia,Gwinnett,7463
2020-06-26,Georgia,Hall,3075
2020-06-27,Georgia,Cobb,4526
2020-06-27,Georgia,DeKalb,5404
2020-06-27,Georgia,Fulton,6506
2020-06-27,Georgia,Gwinnett,7604
2020-06-27,Georgia,Hall,3101
2020-06-28,Georgia,Cobb,4607
2020-06-28,Georgia,DeKalb,5448
2020-06-28,Georgia,Fulton,6610
2020-06-28,Georgia,Gwinnett,7685
2020-06-28,Georgia,Hall,3117
2020-06-29,Georgia,Cobb,4630
2020-06-29,Georgia,DeKalb,5469
2020-06-29,Georgia,Fulton,6648
2020-06-29,Georgia,Gwinnett,7755
2020-06-29,Georgia,Hall,3138
2020-06-30,Georgia,Cobb,4877
2020-06-30,Georgia,DeKalb,5841
2020-06-30,Georgia,Fulton,6965
2020-06-30,Georgia,Gwinnett,8082
2020-06-30,Georgia,Hall,3187
